"Mês";"DATA.MOV.";"DATA.VALOR";"DESCRIÇÃO";"IMPORTÂNCIA";"SALDO.CONTABILÍSTICO";"CENTRO.DE.CUSTO";"RUBRICA"
4;"2022-04-15";"2022-04-15";"COMPRA   AUCHAN SINTRA";-4,29;7566,05;"INSTALAÇÕES";"MANUTENÇÃO / OBRAS"
4;"2022-04-19";"2022-04-19";"SP-50076845506 ENDESA ENERGIA";-11,73;7554,32;"INSTALAÇÕES";"CONSUMO ELECTRICIDADE"
4;"2022-04-19";"2022-04-19";"SP-50076845118 ENDESA ENERGIA";-50,48;7503,84;"INSTALAÇÕES";"CONSUMO ELECTRICIDADE"
4;"2022-04-29";"2022-04-29";"SP-96611566046 Servicos Munici";-18,87;7484,97;"INSTALAÇÕES";"CONSUMO ÁGUA (SMAS)"
5;"2022-05-02";"2022-05-02";"SP-00026322892 SECURITAS DIREC";-52,31;7432,66;"INSTALAÇÕES";"SECURITAS - ALARME"
5;"2022-05-05";"2022-05-05";"COMPRA   POUPANCA MEM MARTINS";-144,3;7288,36;"INSTALAÇÕES";"PRODUTOS DE LIMPEZA"
5;"2022-05-05";"2022-05-05";"COMPRA   HIPER CHINA";-15;7273,36;"ANIVERSÁRIO SUS";"COMPRAS"
5;"2022-05-06";"2022-05-06";"SP-10367661    MAFEP MATERIAL";-29,52;7243,84;"INSTALAÇÕES";"ALUGUER EXTINTORES"
5;"2022-05-08";"2022-05-08";"COMPRA   PARQUES DE SINTRA";-8;7235,84;"ANIVERSÁRIO SUS";"ENCARGOS COM COLABORADORES"
5;"2022-05-09";"2022-05-09";"SP-00531446107 VODAFONE PORTUG";-64,17;7171,67;"INSTALAÇÕES";"COMUNICAÇÕES"
5;"2022-05-11";"2022-05-11";"TR-IPS-BDLS HSP, UNIPESSOAL LD";2000;9171,67;"INSTALAÇÕES";"RENDA"
5;"2022-05-12";"2022-05-12";"COMPRA   FORUM CHINA";-26,4;9145,27;"ANIVERSÁRIO SUS";"COMPRAS"
5;"2022-05-12";"2022-05-12";"COMPRA   LEROY MERLIN SINTRA";-70,39;9074,88;"INSTALAÇÕES";"MANUTENÇÃO / OBRAS"
5;"2022-05-12";"2022-05-12";"COMPRA   AUCHAN SINTRA";-29,9;9044,98;"ANIVERSÁRIO SUS";"ENCARGOS COM COLABORADORES"
5;"2022-05-12";"2022-05-12";"COMPRA   BOTAMINUTO";-9,2;9035,78;"TEATRO UNIÃO";"GUARDA ROUPA"
5;"2022-05-13";"2022-05-13";"COMPRA   PASTELARIA GREGORIO";-16,7;9019,08;"ANIVERSÁRIO SUS";"COMPRAS"
5;"2022-05-13";"2022-05-13";"SOLUÇÃO ESOCIAL";-4;9015,08;"INSTALAÇÕES";"DESP. BANCÁRIAS"
5;"2022-05-13";"2022-05-13";"I.S. COM. MAN. CTA PACOTE";-0,16;9014,92;"INSTALAÇÕES";"DESP. BANCÁRIAS"
5;"2022-05-14";"2022-05-14";"COMPRA   DONA ESTEFANIA";-25;8989,92;"ANIVERSÁRIO SUS";"COMPRAS"
5;"2022-05-18";"2022-05-18";"SP-20000453514 FIDELIDADE COMP";-219,14;8770,78;"INSTALAÇÕES";"SEGUROS"
5;"2022-05-18";"2022-05-18";"SP-20000448811 FIDELIDADE COMP";-223,45;8547,33;"INSTALAÇÕES";"SEGUROS"
5;"2022-05-19";"2022-05-19";"SP-50076845506 ENDESA ENERGIA";-10,22;8537,11;"INSTALAÇÕES";"CONSUMO ELECTRICIDADE"
5;"2022-05-20";"2022-05-20";"SP-50076845118 ENDESA ENERGIA";-59,58;8477,53;"INSTALAÇÕES";"CONSUMO ELECTRICIDADE"
5;"2022-05-23";"2022-05-23";"TR-UNIAO DAS FREGUESIAS DE SIN";1000;9477,53;"TEATRO UNIÃO";"APOIO"
5;"2022-05-26";"2022-05-26";"SP-96611566046 Servicos Munici";-21,65;9455,88;"INSTALAÇÕES";"CONSUMO ÁGUA (SMAS)"
6;"2022-06-01";"2022-06-01";"SP-00026322892 SECURITAS DIREC";-52,31;9403,57;"INSTALAÇÕES";"SECURITAS - ALARME"
6;"2022-06-06";"2022-06-06";"SP-00531446107 VODAFONE PORTUG";-53,71;9349,86;"INSTALAÇÕES";"COMUNICAÇÕES"
6;"2022-06-08";"2022-06-08";"SP-10367661    MAFEP MATERIAL";-29,52;9320,34;"INSTALAÇÕES";"ALUGUER EXTINTORES"
6;"2022-06-08";"2022-06-08";"TR-IPS-BDLS HSP, UNIPESSOAL LD";1000;10320,34;"INSTALAÇÕES";"RENDA"
6;"2022-06-12";"2022-06-12";"TRF.IPS P/ MARTA ISABEL PINTO";-55;10265,34;"ANIVERSÁRIO SUS";"COMPRAS"
6;"2022-06-12";"2022-06-12";"TRF.IPS P/ RICARDO PEREIRA";-60,09;10205,25;"INSTALAÇÕES";"MANUTENÇÃO / OBRAS"
6;"2022-06-12";"2022-06-12";"TRF.IPS P/ BARBARA RITA SANTO";-14,95;10190,3;"TEATRO UNIÃO";"GUARDA ROUPA"
6;"2022-06-12";"2022-06-12";"TRF.IPS P/ BARBARA RITA SANTO";-25;10165,3;"ATIVIDADES DIVERSAS";"COMPRAS"
6;"2022-06-12";"2022-06-12";"TRF.IPS P/ INOV COMPOSITOS";-153,75;10011,55;"INSTALAÇÕES";"MANUTENÇÃO / OBRAS"
6;"2022-06-13";"2022-06-13";"SOLUÇÃO ESOCIAL";-4;10007,55;"INSTALAÇÕES";"DESP. BANCÁRIAS"
6;"2022-06-13";"2022-06-13";"I.S. COM. MAN. CTA PACOTE";-0,16;10007,39;"INSTALAÇÕES";"DESP. BANCÁRIAS"
6;"2022-06-14";"2022-06-14";"COMPRA   REST PIC NIC";-55,1;9952,29;"INSTALAÇÕES";"ENCARGOS COM COLABORADORES"
6;"2022-06-20";"2022-06-20";"SP-50076845118 ENDESA ENERGIA";-63,89;9888,4;"INSTALAÇÕES";"CONSUMO ELECTRICIDADE"
6;"2022-06-20";"2022-06-20";"SP-50076845506 ENDESA ENERGIA";-10,52;9877,88;"INSTALAÇÕES";"CONSUMO ELECTRICIDADE"
6;"2022-06-20";"2022-06-20";"TRF. AMÉLIA IRENE FRANÇA RODRI";-50;9827,88;"BAR";"COMPRAS"
7;"2022-07-01";"2022-07-01";"SP-96611566046 Servicos Munici";-20,48;9807,4;"INSTALAÇÕES";"CONSUMO ÁGUA (SMAS)"
7;"2022-07-01";"2022-07-01";"SP-00026322892 SECURITAS DIREC";-52,31;9755,09;"INSTALAÇÕES";"SECURITAS - ALARME"
7;"2022-07-06";"2022-07-06";"SP-00531446107 VODAFONE PORTUG";-53,71;9701,38;"INSTALAÇÕES";"COMUNICAÇÕES"
7;"2022-07-07";"2022-07-07";"SP-10367661    MAFEP MATERIAL";-29,52;9671,86;"INSTALAÇÕES";"ALUGUER EXTINTORES"
7;"2022-07-07";"2022-07-07";"TR-IPS-BDLS HSP, UNIPESSOAL LD";1000;10671,86;"INSTALAÇÕES";"RENDA"
7;"2022-07-13";"2022-07-13";"SOLUÇÃO ESOCIAL";-4;10667,86;"INSTALAÇÕES";"DESP. BANCÁRIAS"
7;"2022-07-13";"2022-07-13";"I.S. COM. MAN. CTA PACOTE";-0,16;10667,7;"INSTALAÇÕES";"DESP. BANCÁRIAS"
7;"2022-07-15";"2022-07-15";"COMPRA   GATO PRETO";-31,7;10636;"INSTALAÇÕES";"ARTIGOS DECORATIVOS"
7;"2022-07-17";"2022-07-17";"COMPRA   GATO PRETO";-7,15;10628,85;"INSTALAÇÕES";"ARTIGOS DECORATIVOS"
7;"2022-07-20";"2022-07-20";"SP-50076845118 ENDESA ENERGIA";-51,25;10577,6;"INSTALAÇÕES";"CONSUMO ELECTRICIDADE"
